stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kuoan\OneDrive\Desktop\fin\Group50_Project\allegro5.cfg r
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52943] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52948] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.53035] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.53040] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.53121] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.53126] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.53280] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.53287] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.23329] removed dtor for ttf_font 0000000002c39140
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.23475] removed dtor for bitmap 0000000002c4a4a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.23581] removed dtor for sample 0000000002c392f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24230] removed dtor for sample_instance 0000000002c21530
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24567] removed dtor for bitmap 0000000002c57ad0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24608] removed dtor for bitmap 0000000002c57260
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24634] removed dtor for bitmap 0000000002c57920
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24661] removed dtor for bitmap 0000000002c57580
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24708] removed dtor for bitmap 0000000002c57730
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24733] removed dtor for bitmap 0000000002cedf00
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24791] removed dtor for bitmap 0000000002cee0b0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24820] removed dtor for sample 0000000002c38e10
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24826] removed dtor for timer 0000000002c371b0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.24833] removed dtor for queue 0000000002c370e0
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [   3.24835] destroying display 0000000002c23510 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   3.25161] converting display bitmap 0000000002c373c0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   3.25172] added dtor for bitmap 0000000002c370e0, func 00007fffbe0b1bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.25325] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.25332] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.25465] removed dtor for bitmap 0000000002c370e0
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [   3.25540] waiting for display 0000000002c23510's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   3.28399] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [   3.32422] d3d display thread exits
dtor     D               dtor.c:116  _al_run_destructors              [   3.32579] calling dtor for bitmap 0000000002c373c0, func 00007fffbe0b1bea
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32589] removed dtor for bitmap 0000000002c373c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32612] removed dtor for sample_instance 00000000012f8d20
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32618] removed dtor for sample_instance 00000000012f8e40
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32621] removed dtor for sample_instance 00000000012fa0e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32623] removed dtor for sample_instance 00000000012fa200
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32625] removed dtor for sample_instance 00000000012fa3b0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32627] removed dtor for sample_instance 00000000012f9df0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32630] removed dtor for sample_instance 00000000012f9f10
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32633] removed dtor for sample_instance 00000000012fe7d0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32636] removed dtor for sample_instance 00000000012fea00
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32638] removed dtor for sample_instance 00000000012feb20
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32640] removed dtor for sample_instance 00000000012fec40
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32643] removed dtor for sample_instance 00000000012fed60
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32645] removed dtor for sample_instance 00000000012fee80
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32647] removed dtor for sample_instance 0000000002c1f3f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32649] removed dtor for sample_instance 0000000002c1f510
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32652] removed dtor for sample_instance 0000000002c1f8c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32654] removed dtor for sample_instance 0000000002c20400
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32657] removed dtor for sample_instance 0000000002c1f680
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32670] removed dtor for sample_instance 0000000002c1f9e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32675] removed dtor for sample_instance 0000000002c1fb00
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32677] removed dtor for sample_instance 0000000002c1fc20
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32678] removed dtor for sample_instance 0000000002c1fe60
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32680] removed dtor for sample_instance 0000000002c1fd40
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32681] removed dtor for sample_instance 0000000002c1ff80
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32683] removed dtor for sample_instance 0000000002c200a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32684] removed dtor for sample_instance 0000000002c201c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32686] removed dtor for sample_instance 0000000002c202e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32687] removed dtor for sample_instance 0000000002c1f7a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32689] removed dtor for sample_instance 0000000002c22a90
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32691] removed dtor for sample_instance 0000000002c21bf0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32692] removed dtor for sample_instance 0000000002c22610
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32694] removed dtor for sample_instance 0000000002c224f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.32695] removed dtor for mixer 00000000012f8ab0
audio-dsound D           dsound.cpp:528  _dsound_stop_voice               [   3.32697] Stopping voice
audio-dsound D           dsound.cpp:545  _dsound_stop_voice               [   3.32699] Joining thread
audio-dsound D           dsound.cpp:551  _dsound_stop_voice               [   3.33145] Joined thread
audio-dsound D           dsound.cpp:553  _dsound_stop_voice               [   3.33151] Destroying thread
audio-dsound D           dsound.cpp:555  _dsound_stop_voice               [   3.33154] Thread destroyed
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   3.33156] Releasing buffer
audio-dsound I           dsound.cpp:566  _dsound_stop_voice               [   3.33158] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.33163] removed dtor for voice 0000000002c16e20
audio-dsound D           dsound.cpp:380  _dsound_deallocate_voice         [   3.33167] Deallocating voice
audio-dsound D           dsound.cpp:385  _dsound_deallocate_voice         [   3.33169] Deallocated voice
audio-dsound D           dsound.cpp:296  _dsound_close                    [   3.33172] Releasing device
audio-dsound D           dsound.cpp:298  _dsound_close                    [   3.33608] Released device
audio-dsound I           dsound.cpp:299  _dsound_close                    [   3.33620] DirectSound closed
